,Date,Home,Away
422,2012-11-18 00:00:00,1,-1
423,2012-11-17 00:00:00,-1,1
424,2012-11-17 00:00:00,0,0
425,2012-11-17 00:00:00,0,0
426,2012-11-18 00:00:00,1,-1
427,2012-11-24 00:00:00,1,-1
428,2012-11-25 00:00:00,1,-1
429,2012-11-24 00:00:00,0,0
430,2012-11-24 00:00:00,1,-1
431,2012-11-24 00:00:00,0,0
432,2012-11-23 00:00:00,1,-1
433,2012-11-24 00:00:00,-1,1
434,2012-11-25 00:00:00,1,-1
435,2012-11-25 00:00:00,1,-1
436,2012-11-30 00:00:00,0,0
437,2012-12-01 00:00:00,0,0
438,2012-12-02 00:00:00,-1,1
439,2012-12-01 00:00:00,0,0
440,2012-12-01 00:00:00,0,0
441,2012-12-02 00:00:00,1,-1
442,2012-12-01 00:00:00,1,-1
443,2012-12-01 00:00:00,1,-1
444,2012-12-02 00:00:00,-1,1
445,2012-12-01 00:00:00,1,-1
446,2012-12-09 00:00:00,-1,1
447,2012-12-08 00:00:00,1,-1
448,2012-12-08 00:00:00,0,0
449,2012-12-08 00:00:00,1,-1
450,2012-12-09 00:00:00,0,0
451,2012-12-08 00:00:00,0,0
452,2012-12-09 00:00:00,-1,1
453,2012-12-08 00:00:00,0,0
454,2012-12-07 00:00:00,0,0
455,2012-12-08 00:00:00,0,0
456,2012-12-12 00:00:00,1,-1
457,2012-12-12 00:00:00,-1,1
458,2012-12-13 00:00:00,0,0
459,2012-12-12 00:00:00,-1,1
460,2012-12-12 00:00:00,1,-1
461,2012-12-11 00:00:00,1,-1
462,2012-12-12 00:00:00,1,-1
463,2012-12-12 00:00:00,0,0
464,2012-12-11 00:00:00,1,-1
465,2012-12-11 00:00:00,-1,1
466,2012-12-15 00:00:00,1,-1
467,2012-12-16 00:00:00,0,0
468,2012-12-15 00:00:00,1,-1
469,2012-12-15 00:00:00,0,0
470,2012-12-14 00:00:00,1,-1
471,2012-12-16 00:00:00,-1,1
472,2012-12-15 00:00:00,-1,1
